GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,CAGDP2,45,"51","  Information ","Thousands of dollars",2056213,2023300,2163299,2288744,2508248,2628188
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",13951524,14859679,16698441,16943110,17771509,20053983
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",7138132,7360911,8378241,8702850,9008430,10521665
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",6813392,7498769,8320200,8240260,8763079,9532318
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,CAGDP2,59,"54,55,56","  Professional and business services ","Thousands of dollars",6494293,(D),(D),6995970,7576017,8094949
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",4599808,4725384,4951568,4900714,5173538,5482169
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",(D),(D),(D),(D),(D),(D)
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",(D),(D),(D),(D),(D),(D)
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,CAGDP2,68,"61,62","  Educational services, health care, and social assistance ","Thousands of dollars",6241790,6510052,6740174,6598159,6816280,7215965
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,CAGDP2,69,"61","   Educational services ","Thousands of dollars",1565446,1599070,1674638,1600601,1578352,1682347
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",4676344,4910981,5065535,4997558,5237928,5533618
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,CAGDP2,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",2059960,2247444,2235854,(D),1999891,2390412
